Protein_Group	Protein_Ids	Protein_Names	Genes	First_Protein_Description	control_r1	control_r2	control_r3	MI_IZ_r1	MI_IZ_r2	MI_IZ_r3	MI_IZ_r4	MI_remote_r1	MI_remote_r2	MI_remote_r3	MI_remote_r4
A0A0J9YTR2	A0A0J9YTR2	A0A0J9YTR2_MOUSE	0610012G03Rik		2530.59	2313.68	2556.43	1818.45				2594.37	2754.05	3125.8	2801.5
A0A0J9YUD5	A0A0J9YUD5	A0A0J9YUD5_MOUSE	Nup205		1798.63		1694.43	2201.13	2015.35	2295.04	2462.09	2037.52	2763.51	1993.04	1417.46
A0A140LIS8;Q9CXR1	A0A140LIS8;Q9CXR1	A0A140LIS8_MOUSE;DHRS7_MOUSE	Dhrs7;Gm4756		3368.33	4290.58	2756.36	2756.26	4129.29	2949.68	3114.58	3532.27	3896.87	2994.28	
A0A140T8M0;A0A140T8N1;A0A075B5N0;P01631;A0A075B5K8;A0A0B4J1I0;A0A140T8M9	A0A140T8M0;A0A140T8N1;A0A075B5N0;P01631;A0A075B5K8;A0A0B4J1I0;A0A140T8M9	A0A075B5K8_MOUSE;A0A075B5N0_MOUSE;A0A0B4J1I0_MOUSE;A0A140T8M0_MOUSE;A0A140T8M9_MOUSE;A0A140T8N1_MOUSE;KV2A7_MOUSE	Igkv1-110;Igkv1-117;Igkv1-122;Igkv1-35;Igkv1-88;Igkv1-99		1852.8			9192.93	1682.67	2055.94				1626.94	1675.25
A0A140T8M0;A0A140T8N1;P01631;A0A075B5K8;A0A0B4J1I0	A0A140T8M0;A0A140T8N1;P01631;A0A075B5K8;A0A0B4J1I0	A0A075B5K8_MOUSE;A0A0B4J1I0_MOUSE;A0A140T8M0_MOUSE;A0A140T8N1_MOUSE;KV2A7_MOUSE	Igkv1-110;Igkv1-117;Igkv1-88;Igkv1-99					2756.95							
A0A140T8P7;A0A140T8N5;A0A140T8M3;A0A140T8M4;A0A075B5N4;A0A140T8N7	A0A140T8P7;A0A140T8N5;A0A140T8M3;A0A140T8M4;A0A075B5N4;A0A140T8N7	A0A075B5N4_MOUSE;A0A140T8M3_MOUSE;A0A140T8M4_MOUSE;A0A140T8N5_MOUSE;A0A140T8N7_MOUSE;A0A140T8P7_MOUSE	Igkv6-23;Igkv6-25;Igkv8-19;Igkv8-21;Igkv8-27;Igkv8-30			1859.03		1958.77	2076.09			1256.66			
A0A140T8T4;P51410	A0A140T8T4;P51410	A0A140T8T4_MOUSE;RL9_MOUSE	Rpl9;Rpl9-ps6		9570.2	13631.3	14193.1	17510.4	23946.2	18702.5	14094.9	15449.9	17221.2	15774.2	14354
A0A1B0GRG8;P48758	A0A1B0GRG8;P48758	A0A1B0GRG8_MOUSE;CBR1_MOUSE	Cbr1;Gm5678		3064.48	2990.07	2969.21	3431.29	2630.33	2674.06		2347.88	3385.58	2573.24	4467.6
A0A1D5RLD8;P16858	A0A1D5RLD8;P16858	A0A1D5RLD8_MOUSE;G3P_MOUSE	Gapdh;Gm10358		79847.5	70651.2	87577.4	91873.1	66345.8	43810.5	38575.6	59105.1	61080.9	43172.8	50624.4
A0A1D5RLD8;S4R1W1;P16858	A0A1D5RLD8;S4R1W1;P16858	A0A1D5RLD8_MOUSE;G3P_MOUSE;S4R1W1_MOUSE	Gapdh;Gm10358;Gm3839		449722	318801	441064	505028	385068	329058	265794	355907	438202	331528	389996
A0A1D5RLD8;S4R1W1;P16858;Q64467	A0A1D5RLD8;S4R1W1;P16858;Q64467	A0A1D5RLD8_MOUSE;G3PT_MOUSE;G3P_MOUSE;S4R1W1_MOUSE	Gapdh;Gapdhs;Gm10358;Gm3839		464128	421719	411821	501628	398680	353758	272872	354153	403953	329832	503920
A0A1L1SQU7	A0A1L1SQU7	A0A1L1SQU7_MOUSE	Fat1		4292.33	9626.67	4808.58	3943.06	5574.44	5172.78		4005.26	6833.98	4464.27	10392.5
A0A1W2P6Q8;A0A1W2P7S8;A0A1W2P7H4;Q6A068;A0A1W2P7Z8;A0A1W2P855	A0A1W2P6Q8;A0A1W2P7S8;A0A1W2P7H4;Q6A068;A0A1W2P7Z8;A0A1W2P855	A0A1W2P6Q8_MOUSE;A0A1W2P7H4_MOUSE;A0A1W2P7S8_MOUSE;A0A1W2P7Z8_MOUSE;A0A1W2P855_MOUSE;CDC5L_MOUSE	Cdc5l;Gm32717;Gm9044;Gm9045;Gm9046;Gm9048		3093.31	3261.55	3116.13	3701.45	7399.19	7191.41	9556.28	3633.54	4414.88	2576.58	5282.68
A0A1Y7VLT7;Q3UTA4;J3QPI8;Q60872;J3QQ02;A0A1Y7VJE9;A0A1Y7VNG9;Q3TQZ4;A0A1Y7VK80;Q8BMJ3;J3QMW5;J3QP87;J3QNT6;Q3UT53;Q8BX20	A0A1Y7VLT7;Q3UTA4;J3QPI8;Q60872;J3QQ02;A0A1Y7VJE9;A0A1Y7VNG9;Q3TQZ4;A0A1Y7VK80;Q8BMJ3;J3QMW5;J3QP87;J3QNT6;Q3UT53;Q8BX20	A0A1Y7VJE9_MOUSE;A0A1Y7VK80_MOUSE;A0A1Y7VLT7_MOUSE;A0A1Y7VNG9_MOUSE;IF1AX_MOUSE;IF1A_MOUSE;J3QMW5_MOUSE;J3QNT6_MOUSE;J3QP87_MOUSE;J3QPI8_MOUSE;J3QQ02_MOUSE;Q3TQZ4_MOUSE;Q3UT53_MOUSE;Q3UTA4_MOUSE;Q8BX20_MOUSE	Eif1a;Eif1ad10;Eif1ad11;Eif1ad12;Eif1ad13;Eif1ad14;Eif1ad15;Eif1ad16;Eif1ad17;Eif1ad18;Eif1ad2;Eif1ad3;Eif1ad4;Eif1ad7;Eif1ax		1655.53	2067.27	2269.69	4658.81	3234.02	4162.42	3288.97	2477.72	3576.62	1251.92	1994.79
A0A286YCV9	A0A286YCV9	A0A286YCV9_MOUSE	Kif13b						4574.85			3421.17			
A0A286YCX6	A0A286YCX6	A0A286YCX6_MOUSE	Trappc8							8054.57		6740.24		4626.14	7642.64
A0A2R8VHP3	A0A2R8VHP3	A0A2R8VHP3_MOUSE	Gm5478		1648.98		2693.92	32759.3	8235.44	8571.35	2095.11	2353.95	2921.44		
A0A338P6I9	A0A338P6I9	A0A338P6I9_MOUSE	Gm56451		5055.52	5903.08	5160.19	5031.43	3763.47	4047.61	5167.8	6046.18	4351.63	5576.49	4860.39
A0A571BE98	A0A571BE98	A0A571BE98_MOUSE	Lsmem2		5313.49	5143.27	5716.02	3624.73	3827.44	3787.31		3730.82	4285.96	5372.26	4987.72
A0A571BF58	A0A571BF58	A0A571BF58_MOUSE	Neb		23539.6	21071.1	21628.8	14533.8	12520.1	12794.5	5614.69	18809.5	16290.5	19298.1	20916.2
A0A571BF58;Q0II04	A0A571BF58;Q0II04	A0A571BF58_MOUSE;NEBL_MOUSE	Neb;Nebl		12720.2	13962.4	16938.8	10058.3	7640.29	6644.81	2485.13	11580.2	9011.98	10604.4	10007.8
A0A5F8MPH8	A0A5F8MPH8	A0A5F8MPH8_MOUSE	Tnxb		13997.3	15853	12258	10784	14016.8	14945.3	11037	20432.6	22597.1	15821.1	18325.5
A0A5F8MPY2;P99027	A0A5F8MPY2;P99027	A0A5F8MPY2_MOUSE;RLA2_MOUSE	Rplp2;Rplp2-ps1		13890.4	21784.2	15370.5	48044.3	37417.4	20802.4	21485.2	23945.1	30092.6	26157.2	21056.4
A0A668KLU9	A0A668KLU9	A0A668KLU9_MOUSE	Cfhr2		738.157	704.496	630.016	2350.84	1686.02	3939.07	735.64		2052.28	795.084	1106.79
A0A668KLU9;E9Q8B5	A0A668KLU9;E9Q8B5	A0A668KLU9_MOUSE;E9Q8B5_MOUSE	Cfhr2;Cfhr4		2650.94	2887.29	2902.11	6676.65	5877.33	9017.21	4601.67	2653.51	6269.3	3062.71	2502.98
A0A668KLU9;P06909	A0A668KLU9;P06909	A0A668KLU9_MOUSE;CFAH_MOUSE	Cfh;Cfhr2		6688.12	5373.18	5866.92	14382	10067	11066.1	6169.67	7961.8	9311.14	6174.14	2461.84
A0A7N9VR94	A0A7N9VR94	A0A7N9VR94_MOUSE	Ahnak2		14430.6	12416.7	10438.7	13114	15423.9	18184.3	12636.4	17264.4	17019.1	12571.3	14508.3
A0A7N9VSG0	A0A7N9VSG0	A0A7N9VSG0_MOUSE	Spata5l1		19253.9	26625.6	21463.4	25369.3	21989.1	15106.3	11288.5	17817.3	16608.4	23102.8	13135.3
A0A8I4SYN6;P84244;P02301;P84228;P68433	A0A8I4SYN6;P84244;P02301;P84228;P68433	A0A8I4SYN6_MOUSE;H31_MOUSE;H32_MOUSE;H33_MOUSE;H3C_MOUSE	H3-3b;H3-5;H3c11;H3c15;H3f4		1.37038E+06	1.47476E+06	1.39065E+06	1.97231E+06	3.09545E+06	3.22189E+06	4.59876E+06	1.55445E+06	1.74485E+06	1.37655E+06	1.75373E+06
A2A8U2	A2A8U2	TM201_MOUSE	Tmem201		5644.94	4390.82	4732.17	3545.77	5140.32		3073.73	6648.36	4538.16	4346.79	4147.92
A2AAJ9	A2AAJ9	OBSCN_MOUSE	Obscn		48126.7	48389.3	48924	40778.9	39120.2	41873.9	24306.4	51949.5	50378.8	50226.9	50744
A2ADY9	A2ADY9	DDI2_MOUSE	Ddi2		2171.22	1986.91	1983.49	4188.46	3001.02	2707.1	2326.59	2727.41	2796.95	2706.07	
A2AGL3;E9Q401	A2AGL3;E9Q401	RYR2_MOUSE;RYR3_MOUSE	Ryr2;Ryr3		12013.7	11532.9	13118.4	11535	10789.3	10024.5	6276.02	11998.7	10783	11356.5	12157.1
A2AGL3;E9Q401;E9PZQ0	A2AGL3;E9Q401;E9PZQ0	RYR1_MOUSE;RYR2_MOUSE;RYR3_MOUSE	Ryr1;Ryr2;Ryr3		4520.05	4880.38	5220.26	2967.06	2635.84	4197.96	1491.27	3654.49	2744.2	3869.1	5353.56
A2AGT5	A2AGT5	CKAP5_MOUSE	Ckap5		2204.49	2353.34	1950.26	1668.85	3730.78		3257.33	2956.19	3943.62	3126.76	3587.08
A2AIL4	A2AIL4	NDUF6_MOUSE	Ndufaf6		1442.84	1920.28	1950.15	1324.37				1398.02	1206.41		2412.46
A2AJI0	A2AJI0	MA7D1_MOUSE	Map7d1		13017.9	12879.8	14421.4	13913.8	14506.4	13309.8	7993.34	17109.5	16621.2	14028.9	16577
A2AJK6;Q8BYH8	A2AJK6;Q8BYH8	CHD7_MOUSE;CHD9_MOUSE	Chd7;Chd9		6912.73	6449.13		6477.24	4154.51					6150.97	
A2AMM0	A2AMM0	CAVN4_MOUSE	Cavin4		10923	7837.47	10030.2	11676.3	6436.26	8375.51	5912.64	9119.28	4652.79	10414.6	5368.53
A2AN08	A2AN08	UBR4_MOUSE	Ubr4		4932.91	4328.6	3663.29	5202.69	4844.01	6188.31	6932.26	4674.53	4625.59	4803.78	4699.75
A2APV2;Q9JL26	A2APV2;Q9JL26	FMNL1_MOUSE;FMNL2_MOUSE	Fmnl1;Fmnl2		1455.46		2278.37	4081.27	6201.92	5787.42	6325.2	2314.96	2142.23	2140.34	
A2APY7	A2APY7	NDUF5_MOUSE	Ndufaf5		2524.38	2745.48	1881.42	2848.19	2942.7	3306.25		2603.76	3705.41	3303.6	2607.4
A2AQ07	A2AQ07	TBB1_MOUSE	Tubb1					3066.75	3802.22	4422.08	8567.36			7981.56	
A2ASQ1	A2ASQ1	AGRIN_MOUSE	Agrn		14734.1	16469.6	12719.6	11703.9	13651.8	12575.1	13220.4	12965.7	14934.1	12148.7	11749.5
A2ASS6	A2ASS6	TITIN_MOUSE	Ttn		217108	206855	236738	182187	156673	149497	84334.7	206856	187831	203547	206266
A2AUC9	A2AUC9	KLH41_MOUSE	Klhl41		11650.9	13149	14389.3	40791.6	31114.9	30986.9	16912.5	18635.5	21418.8	22712.3	22200.1
A2RT60;Q9JIY5	A2RT60;Q9JIY5	HTRA2_MOUSE;HTRA4_MOUSE	Htra2;Htra4		7244.73	6322.71	6534.64	7292.85	7759.16			5843.38	5753.42	6477.34	
A3KFX0	A3KFX0	5NT1A_MOUSE	Nt5c1a		2540.83	2456.67	2323.27	2068.08				2200.46	2786.97	2664.08	2305.44
A3KFX0;Q91YE9	A3KFX0;Q91YE9	5NT1A_MOUSE;5NT1B_MOUSE	Nt5c1a;Nt5c1b			3197.99	1506.84					1368.3		3804.76	
A3KG59	A3KG59	P20D2_MOUSE	Pm20d2		1654.63	1599.56	1068.86	1620.2					1430.24	1481.32	
A3KGK3	A3KGK3	FR1L4_MOUSE	Fer1l4				2817.86	2390.68					3160.5	2711.72	
A3KGS3;P61255	A3KGS3;P61255	RGPA2_MOUSE;RL26_MOUSE	Ralgapa2;Rpl26		926.657	1156.73		1213.83		2532.09	2186.94				
A3KMP2	A3KMP2	TTC38_MOUSE	Ttc38		3946.51	4040.72	3688.27	3566.5	3059.57		2397.01	2937.8	3592.56	2879.59	3491.08
A6H611	A6H611	MIPEP_MOUSE	Mipep		1369.89	1777.17	1150.52					1043.54	1570.09	1575.15	2608.75
A6H6A9	A6H6A9	RBG1L_MOUSE	Rabgap1l		1968.95	2690.95	2508.11	1837.11	2509.44	1894.17	1766.7	2083.01	4041.75	2729.08	2500.4
A6H6E2	A6H6E2	MMRN2_MOUSE	Mmrn2		4549.08	2991.24	3701.17	5745.69	6084.09	8084.89	7334.66	6217.2	6185.42	4082.82	4893.84
A6X935	A6X935	ITIH4_MOUSE	Itih4		7789.94	9222.65	6331.19	32144.8	25929.7	30459.4	20082.1	18018.5	26596.8	14207.7	18234.4
A8DUK4	A8DUK4	A8DUK4_MOUSE	Hbb-bs		843769	801892	541528	1.73806E+06	1.92751E+06	6.86101E+06	1.07648E+06	1.32061E+06	735377	1.30421E+06	946923
B1AQ75;Cont_O76013;Cont_B1AQ75	B1AQ75;Cont_O76013;Cont_B1AQ75	KRT36_HUMAN;KRT36_MOUSE	KRT36;Krt36					2589.22						3783.7	
B1AQ75;Q9D646;Q8K0Y2;Q61897;Q61765;Cont_O76011;Cont_O76013;Cont_Q15323;Cont_Q61765;Cont_Q9D646;Cont_B1AQ75;Cont_Q61897;Cont_Q8K0Y2;Cont_P02534;Cont_P25690	B1AQ75;Q9D646;Q8K0Y2;Q61897;Q61765;Cont_O76011;Cont_O76013;Cont_Q15323;Cont_Q61765;Cont_Q9D646;Cont_B1AQ75;Cont_Q61897;Cont_Q8K0Y2;Cont_P02534;Cont_P25690	K1H1_HUMAN;K1H1_MOUSE;K1M1_SHEEP;K1M2_SHEEP;KRT34_HUMAN;KRT34_MOUSE;KRT36_HUMAN;KRT36_MOUSE;KT33A_MOUSE;KT33B_MOUSE	KRT31;KRT34;KRT36;Krt31;Krt33a;Krt33b;Krt34;Krt36											3140.48	
B1AR13	B1AR13	CISD3_MOUSE	Cisd3		1912.02	2414.84	2540.26	1486.82	1653.79	1911.99		2370.76	2819.98	2271.07	1698.96
B1AR69	B1AR69	B1AR69_MOUSE	Myh13		19818.4	19312	21389.5	19272	17744.1	11473	8930.67	16602.9	13988.3	20431.9	21564.3
B1AR69;G3UW82;P13541;Q5SX39;P13542;Q5SX40	B1AR69;G3UW82;P13541;Q5SX39;P13542;Q5SX40	B1AR69_MOUSE;G3UW82_MOUSE;MYH1_MOUSE;MYH3_MOUSE;MYH4_MOUSE;MYH8_MOUSE	Myh1;Myh13;Myh2;Myh3;Myh4;Myh8		1918.06	2608.16		1342.91				1600.77	1861.61		
B1AR69;G3UW82;Q02566;P13541;P13542	B1AR69;G3UW82;Q02566;P13541;P13542	B1AR69_MOUSE;G3UW82_MOUSE;MYH3_MOUSE;MYH6_MOUSE;MYH8_MOUSE	Myh13;Myh2;Myh3;Myh6;Myh8		531866	494808	457434	447353	413431	303817	253840	532494	514043	594191	527873
B1AR69;P13541;Q5SX39;P13542;Q5SX40	B1AR69;P13541;Q5SX39;P13542;Q5SX40	B1AR69_MOUSE;MYH1_MOUSE;MYH3_MOUSE;MYH4_MOUSE;MYH8_MOUSE	Myh1;Myh13;Myh3;Myh4;Myh8		4458.06	1895.34	4289.66	1714.39	109236	101207		153499	3169.46	4886.04	186966
B1AR69;Q5SX39	B1AR69;Q5SX39	B1AR69_MOUSE;MYH4_MOUSE	Myh13;Myh4		23515.8	22347.3	16402.3	11348.5	17444.7	12050.3	7507.28	47611.3	65367.3	30597.5	40651.7
B1AUN2	B1AUN2	B1AUN2_MOUSE	Eif2b3		1405.96	1736.99	1334.01	2358.84	2123.92	2299.97		2315.38	1486.77	2069	
B1AVK5;P08122	B1AVK5;P08122	B1AVK5_MOUSE;CO4A2_MOUSE	Col4a2;Col4a6		2318.13	2212.4	2110.78	2754.4	3285.68			2430.68	1740.22	2035.55	1983.65
B2RQC6	B2RQC6	PYR1_MOUSE	Cad		2669.71	3205.46	2331.74	5912.88	5858.28	7220.16	8092.03	4083.35	4286.87	3061.53	4200.09
B2RRE7	B2RRE7	OTUD4_MOUSE	Otud4		1885.54	1404.3	1672.86	1487.77				1738.3	1676.8	1484.08	1642.55
B2RXS4	B2RXS4	PLXB2_MOUSE	Plxnb2		4113.81	3280.89	3341.64	3863.33	3808.93	3150.53	4084.42	3707.83	3829.8	2746.78	3434.05
B2RY04	B2RY04	DOCK5_MOUSE	Dock5			3885.86	3696.94	3916.69	4957.12			3969.92	4387.85	5219.97	
B2RY56	B2RY56	RBM25_MOUSE	Rbm25		2417.05	3168.84	1986.86	4819.24	5578	4703.1	6340.62	3061.99	3656.98	2602.62	4887.89
B8JJ69	B8JJ69	B8JJ69_MOUSE	2310061I04Rik		2733.34	2095.21	2000.69	2260.25	1535.48	2056.63		2082.57	2313.55	1817.4	1711.09
Cont_A6NCN2;Cont_O43790	Cont_A6NCN2;Cont_O43790	KR87P_HUMAN;KRT86_HUMAN	KRT86;KRT87P							2041.15			1625.1	5388.52	
Cont_A6NCN2;Cont_O43790;Cont_P78385;Cont_P78386;Cont_P02539	Cont_A6NCN2;Cont_O43790;Cont_P78385;Cont_P78386;Cont_P02539	K2M1_SHEEP;KR87P_HUMAN;KRT83_HUMAN;KRT85_HUMAN;KRT86_HUMAN	KRT83;KRT85;KRT86;KRT87P				1382.22			3717.21			3159.7	40959	
Cont_A6NCN2;Cont_O43790;Cont_P78385;Cont_Q14533;Cont_P15241	Cont_A6NCN2;Cont_O43790;Cont_P78385;Cont_Q14533;Cont_P15241	K2M2_SHEEP;KR87P_HUMAN;KRT81_HUMAN;KRT83_HUMAN;KRT86_HUMAN	KRT81;KRT83;KRT86;KRT87P											22837.5	
Cont_O43790;Cont_P78385;Cont_Q14533	Cont_O43790;Cont_P78385;Cont_Q14533	KRT81_HUMAN;KRT83_HUMAN;KRT86_HUMAN	KRT81;KRT83;KRT86							2954.6			4230.61	20520.9	
Cont_O43790;Cont_Q14533	Cont_O43790;Cont_Q14533	KRT81_HUMAN;KRT86_HUMAN	KRT81;KRT86										1337.39	6486.64	
Cont_O76009;Cont_O76011;Cont_Q14525	Cont_O76009;Cont_O76011;Cont_Q14525	KRT34_HUMAN;KT33A_HUMAN;KT33B_HUMAN	KRT33A;KRT33B;KRT34										820.019	3230.91	
Cont_O76009;Cont_O76011;Cont_Q14525;Cont_Q15323	Cont_O76009;Cont_O76011;Cont_Q14525;Cont_Q15323	K1H1_HUMAN;KRT34_HUMAN;KT33A_HUMAN;KT33B_HUMAN	KRT31;KRT33A;KRT33B;KRT34			5090.72							944.09	8532.3	
Cont_O76009;Cont_Q14525;Cont_Q15323	Cont_O76009;Cont_Q14525;Cont_Q15323	K1H1_HUMAN;KT33A_HUMAN;KT33B_HUMAN	KRT31;KRT33A;KRT33B										2317.75	10974.6	
Cont_O76009;Cont_Q14532;Cont_Q15323	Cont_O76009;Cont_Q14532;Cont_Q15323	K1H1_HUMAN;K1H2_HUMAN;KT33A_HUMAN	KRT31;KRT32;KRT33A								1713.53		2449.38	35603.5	
Cont_O76009;Cont_Q15323	Cont_O76009;Cont_Q15323	K1H1_HUMAN;KT33A_HUMAN	KRT31;KRT33A		2167.58					4364.5	1688.55		4526.41	50861.9	
Cont_O76011	Cont_O76011	KRT34_HUMAN	KRT34							2195.73			2405.64	17419.5	
Cont_O76011;Cont_Q14525	Cont_O76011;Cont_Q14525	KRT34_HUMAN;KT33B_HUMAN	KRT33B;KRT34										2780.38	30569.3	
Cont_O76013	Cont_O76013	KRT36_HUMAN	KRT36											4100.64	
Cont_O76014;Cont_O76015	Cont_O76014;Cont_O76015	KRT37_HUMAN;KRT38_HUMAN	KRT37;KRT38		1401.49			1303.03	2253.5	9410.33	5042.67	1597.86	2671.01		
Cont_O82803	Cont_O82803	SRPP_HEVBR	SRPP		8979.64	5336.89	1732.21	11189.8	7243.95	12196.2	82229.7	3918.76	30790.2	13215.3	20765.6
Cont_P00761	Cont_P00761	TRYP_PIG			2.77995E+06	2.44808E+06	1.72211E+06	2.11083E+06	4.06453E+06	5.15949E+06	5.70873E+06	2.34814E+06	2.64853E+06	3.36288E+06	3.70743E+06
Cont_P02533	Cont_P02533	K1C14_HUMAN	KRT14		14122.8	5793.85	3826.32	71115.7	8120.35	21781	21954.8	5409.52	18326.4	1726.94	16408.7
Cont_P02533;Cont_P08779	Cont_P02533;Cont_P08779	K1C14_HUMAN;K1C16_HUMAN	KRT14;KRT16		16347.1	7221.89	9889.5	38248.1	10319.2	29210.7	28813.1	17639	35495.9	4320.8	7867.54
Cont_P02538	Cont_P02538	K2C6A_HUMAN	KRT6A		1715.48	6556.5	964.637	2008.32	2940.98	7373	13816.8	3150.5	13749	2030.58	5092.44
Cont_P02538;Cont_P04259;Cont_P13647;Cont_P48668	Cont_P02538;Cont_P04259;Cont_P13647;Cont_P48668	K2C5_HUMAN;K2C6A_HUMAN;K2C6B_HUMAN;K2C6C_HUMAN	KRT5;KRT6A;KRT6B;KRT6C		14404.2	5438.86	13089.6	107715	19815	42826.5	20327.7	21811.3	39257.9	3613.63	11177.5
Cont_P02538;Cont_P04259;Cont_P19013;Cont_P35908;Cont_P48668;Cont_Q01546	Cont_P02538;Cont_P04259;Cont_P19013;Cont_P35908;Cont_P48668;Cont_Q01546	K22E_HUMAN;K22O_HUMAN;K2C4_HUMAN;K2C6A_HUMAN;K2C6B_HUMAN;K2C6C_HUMAN	KRT2;KRT4;KRT6A;KRT6B;KRT6C;KRT76		123002	274401	337545	1.05979E+06	1.21902E+06	917696	210683	179096	324005	6162.02	16153
