control_r1	control_r2	control_r3	MI_IZ_r1	MI_IZ_r2	MI_IZ_r3	MI_IZ_r4	MI_remote_r1	MI_remote_r2	MI_remote_r3	MI_remote_r4	Protein_Group	Protein_Ids	Protein_Names	Genes
9.03580761	10.07156944	10.21486568	10.96740627	9.730937958	10.24854469	8.825127602	9.494163513	10.19240284	9.961662292	10.05277157	A0A0A6YYE7;A0A0B4J1I4	A0A0A6YYE7;A0A0B4J1I4	A0A0A6YYE7_MOUSE;A0A0B4J1I4_MOUSE	Igkv4-57;Igkv4-72
11.3052578	11.17597389	11.31991482	10.82849312	9.822113991	10.17722702	9.561396599	11.3411684	11.4273386	11.61001015	11.45198345	A0A0J9YTR2	A0A0J9YTR2	A0A0J9YTR2_MOUSE	0610012G03Rik
10.81268311	8.829360962	10.72658443	11.1040287	10.97681427	11.16430378	11.26566792	10.99259853	11.43228626	10.96075535	10.46909237	A0A0J9YUD5	A0A0J9YUD5	A0A0J9YUD5_MOUSE	Nup205
11.71781826	12.06695652	11.42854881	11.42849636	12.01167774	11.52634239	11.60482216	11.78637981	11.92810059	11.54799366	11.19164467	A0A140LIS8;Q9CXR1	A0A140LIS8;Q9CXR1	A0A140LIS8_MOUSE;DHRS7_MOUSE	Dhrs7;Gm4756
10.85549164	8.892119408	9.448095322	13.16630936	10.71653652	11.00558281	10.44424725	9.582421303	9.792262077	10.66794491	10.71016026	A0A140T8M0;A0A140T8N1;A0A075B5N0;P01631;A0A075B5K8;A0A0B4J1I0;A0A140T8M9	A0A140T8M0;A0A140T8N1;A0A075B5N0;P01631;A0A075B5K8;A0A0B4J1I0;A0A140T8M9	A0A075B5K8_MOUSE;A0A075B5N0_MOUSE;A0A0B4J1I0_MOUSE;A0A140T8M0_MOUSE;A0A140T8M9_MOUSE;A0A140T8N1_MOUSE;KV2A7_MOUSE	Igkv1-110;Igkv1-117;Igkv1-122;Igkv1-35;Igkv1-88;Igkv1-99
13.22433376	13.73463535	13.79290199	14.09592438	14.54750919	14.19094372	13.78288555	13.91530991	14.07189846	13.94527912	13.809165	A0A140T8T4;P51410	A0A140T8T4;P51410	A0A140T8T4_MOUSE;RL9_MOUSE	Rpl9;Rpl9-ps6
11.58142662	11.54596329	11.53586292	11.74453545	11.36102772	11.38481617	8.956642151	11.1971426	11.7251873	11.3293705	12.12528419	A0A1B0GRG8;P48758	A0A1B0GRG8;P48758	A0A1B0GRG8_MOUSE;CBR1_MOUSE	Cbr1;Gm5678
16.28495979	16.10842705	16.41827011	16.48735428	16.01771736	15.41898918	15.23540115	15.85099506	15.89843369	15.39783478	15.62754536	A0A1D5RLD8;P16858	A0A1D5RLD8;P16858	A0A1D5RLD8_MOUSE;G3P_MOUSE	Gapdh;Gm10358
18.77867317	18.28229713	18.75062943	18.94600296	18.55475426	18.32798195	18.01994896	18.44114113	18.74123573	18.33877182	18.57309914	A0A1D5RLD8;S4R1W1;P16858	A0A1D5RLD8;S4R1W1;P16858	A0A1D5RLD8_MOUSE;G3P_MOUSE;S4R1W1_MOUSE	Gapdh;Gm10358;Gm3839
18.82416344	18.68592262	18.6516571	18.93625832	18.60487175	18.43240356	18.05786514	18.43401337	18.62382698	18.33137131	18.94283485	A0A1D5RLD8;S4R1W1;P16858;Q64467	A0A1D5RLD8;S4R1W1;P16858;Q64467	A0A1D5RLD8_MOUSE;G3PT_MOUSE;G3P_MOUSE;S4R1W1_MOUSE	Gapdh;Gapdhs;Gm10358;Gm3839
12.06754494	13.23282146	12.23139477	11.94509983	12.44461155	12.33672428	10.58498859	11.96767998	12.73851013	12.12420845	13.34325504	A0A1L1SQU7	A0A1L1SQU7	A0A1L1SQU7_MOUSE	Fat1
11.59493542	11.6713419	11.60553932	11.85387516	12.85315132	12.8120594	13.22223377	11.82715988	12.10815811	11.33124161	12.36705399	A0A1W2P6Q8;A0A1W2P7S8;A0A1W2P7H4;Q6A068;A0A1W2P7Z8;A0A1W2P855	A0A1W2P6Q8;A0A1W2P7S8;A0A1W2P7H4;Q6A068;A0A1W2P7Z8;A0A1W2P855	A0A1W2P6Q8_MOUSE;A0A1W2P7H4_MOUSE;A0A1W2P7S8_MOUSE;A0A1W2P7Z8_MOUSE;A0A1W2P855_MOUSE;CDC5L_MOUSE	Cdc5l;Gm32717;Gm9044;Gm9045;Gm9046;Gm9048
10.69307709	11.0135107	11.14827919	12.18574619	11.65911293	12.02320671	11.68342018	11.27479744	11.80438137	10.28992653	10.96202087	A0A1Y7VLT7;Q3UTA4;J3QPI8;Q60872;J3QQ02;A0A1Y7VJE9;A0A1Y7VNG9;Q3TQZ4;A0A1Y7VK80;Q8BMJ3;J3QMW5;J3QP87;J3QNT6;Q3UT53;Q8BX20	A0A1Y7VLT7;Q3UTA4;J3QPI8;Q60872;J3QQ02;A0A1Y7VJE9;A0A1Y7VNG9;Q3TQZ4;A0A1Y7VK80;Q8BMJ3;J3QMW5;J3QP87;J3QNT6;Q3UT53;Q8BX20	A0A1Y7VJE9_MOUSE;A0A1Y7VK80_MOUSE;A0A1Y7VLT7_MOUSE;A0A1Y7VNG9_MOUSE;IF1AX_MOUSE;IF1A_MOUSE;J3QMW5_MOUSE;J3QNT6_MOUSE;J3QP87_MOUSE;J3QPI8_MOUSE;J3QQ02_MOUSE;Q3TQZ4_MOUSE;Q3UT53_MOUSE;Q3UTA4_MOUSE;Q8BX20_MOUSE	Eif1a;Eif1ad10;Eif1ad11;Eif1ad12;Eif1ad13;Eif1ad14;Eif1ad15;Eif1ad16;Eif1ad17;Eif1ad18;Eif1ad2;Eif1ad3;Eif1ad4;Eif1ad7;Eif1ax
8.963890076	9.196635246	8.275111198	10.74452209	8.771284103	12.97559166	9.30807209	12.71858406	9.934038162	12.17559338	12.89985561	A0A286YCX6	A0A286YCX6	A0A286YCX6_MOUSE	Trappc8
10.6873579	9.145487785	11.3954916	14.99961662	13.00763035	13.06530666	11.03281021	11.20086765	11.51246357	9.483906746	9.578583717	A0A2R8VHP3	A0A2R8VHP3	A0A2R8VHP3_MOUSE	Gm5478
12.30364418	12.5272522	12.33320808	12.29675293	11.87784767	11.98285484	12.33533478	12.56180859	12.08734035	12.44514179	12.24685669	A0A338P6I9	A0A338P6I9	A0A338P6I9_MOUSE	Gm56451
12.37544441	12.32847023	12.48079491	11.82365799	11.90216446	11.88695812	9.817171097	11.86527729	12.06540298	12.39131355	12.28416443	A0A571BE98	A0A571BE98	A0A571BE98_MOUSE	Lsmem2
14.52280235	14.36297798	14.40066624	13.8271246	13.6119585	13.64323616	12.45499039	14.19917393	13.99174309	14.23617077	14.35233307	A0A571BF58	A0A571BF58	A0A571BF58_MOUSE	Neb
13.63483334	13.76925945	14.0480442	13.29609871	12.89941216	12.69801235	11.27910519	13.49937248	13.13762856	13.37237549	13.28883743	A0A571BF58;Q0II04	A0A571BF58;Q0II04	A0A571BF58_MOUSE;NEBL_MOUSE	Neb;Nebl
13.77286053	13.95246792	13.58143616	13.39660454	13.77486897	13.86740398	13.43006039	14.3185854	14.46385002	13.94956207	14.16156483	A0A5F8MPH8	A0A5F8MPH8	A0A5F8MPH8_MOUSE	Tnxb
13.76180077	14.41099453	13.90787601	15.55207729	15.19142151	14.34446239	14.39105511	14.54744244	14.87712097	14.67492008	14.3619709	A0A5F8MPY2;P99027	A0A5F8MPY2;P99027	A0A5F8MPY2_MOUSE;RLA2_MOUSE	Rplp2;Rplp2-ps1
9.527783394	9.460447311	9.299244881	11.1989603	10.71940613	11.94363976	9.522855759	9.618527412	11.0030117	9.634963036	10.11216545	A0A668KLU9	A0A668KLU9	A0A668KLU9_MOUSE	Cfhr2
11.3722887	11.49550056	11.50288677	12.70490837	12.52094555	13.13846493	12.16794205	11.37368584	12.61408901	11.58059311	11.28943062	A0A668KLU9;E9Q8B5	A0A668KLU9;E9Q8B5	A0A668KLU9_MOUSE;E9Q8B5_MOUSE	Cfhr2;Cfhr4
12.70738506	12.39156055	12.51838779	13.81197643	13.29734612	13.43385887	12.59097767	12.95887852	13.18474197	12.5920229	11.26552105	A0A668KLU9;P06909	A0A668KLU9;P06909	A0A668KLU9_MOUSE;CFAH_MOUSE	Cfh;Cfhr2
13.81684399	13.59999466	13.3496542	13.67882061	13.91287994	14.15040588	13.62529755	14.07551289	14.05486679	13.61784649	13.82459068	A0A7N9VR94	A0A7N9VR94	A0A7N9VR94_MOUSE	Ahnak2
14.23286343	14.70052624	14.38959122	14.63079643	14.42450047	13.88286304	13.46256638	14.12099075	14.01962566	14.49577999	13.68116188	A0A7N9VSG0	A0A7N9VSG0	A0A7N9VSG0_MOUSE	Spata5l1
20.38614464	20.49204826	20.40732765	20.91145515	21.56171799	21.61947632	22.13281441	20.56797218	20.73467064	20.39262581	20.74199486	A0A8I4SYN6;P84244;P02301;P84228;P68433	A0A8I4SYN6;P84244;P02301;P84228;P68433	A0A8I4SYN6_MOUSE;H31_MOUSE;H32_MOUSE;H33_MOUSE;H3C_MOUSE	H3-3b;H3-5;H3c11;H3c15;H3f4
12.46274281	12.10027504	12.20828629	11.79188347	12.32764244	10.69421768	11.58577442	12.69878292	12.147892	12.08573437	12.01817226	A2A8U2	A2A8U2	TM201_MOUSE	Tmem201
15.55455017	15.56240082	15.5782547	15.31553555	15.25562572	15.35376358	14.56904888	15.66482258	15.62052917	15.61617279	15.63094997	A2AAJ9	A2AAJ9	OBSCN_MOUSE	Obscn
11.0842905	10.95631123	10.953825	12.03220463	11.55123711	11.40253258	11.18400097	11.41331577	11.44963837	11.40198326	10.94573212	A2ADY9	A2ADY9	DDI2_MOUSE	Ddi2
13.55239296	13.49346733	13.67930412	13.49373055	13.39731407	13.2912426	12.61563396	13.55059052	13.39647102	13.47123051	13.56951141	A2AGL3;E9Q401	A2AGL3;E9Q401	RYR2_MOUSE;RYR3_MOUSE	Ryr2;Ryr3
12.14212322	12.25277805	12.34990597	11.53481865	11.36404705	12.03547287	10.54232597	11.83545399	11.42216969	11.91778278	12.38628292	A2AGL3;E9Q401;E9PZQ0	A2AGL3;E9Q401;E9PZQ0	RYR1_MOUSE;RYR2_MOUSE;RYR3_MOUSE	Ryr1;Ryr2;Ryr3
11.10622883	11.20049381	10.92945099	10.70463848	11.86526203	10.0659008	11.6694746	11.5295229	11.94530487	11.61045265	11.8085947	A2AGT5	A2AGT5	CKAP5_MOUSE	Ckap5
10.49469566	10.90710068	10.92936897	10.37109089	9.600323677	8.943796158	9.772322655	10.44916916	10.23650455	9.746863365	11.23628902	A2AIL4	A2AIL4	NDUF6_MOUSE	Ndufaf6
13.66820908	13.65282249	13.81592369	13.76422882	13.82440186	13.70020103	12.96458244	14.06250954	14.02073669	13.77611446	14.01689529	A2AJI0	A2AJI0	MA7D1_MOUSE	Map7d1
13.41508198	12.93617249	13.29206276	13.51129532	12.6520071	13.03196144	12.52958679	13.15470409	12.18388081	13.34632015	12.39031124	A2AMM0	A2AMM0	CAVN4_MOUSE	Cavin4
12.26822376	12.07968521	11.83892441	12.34504223	12.24198627	12.59533024	12.75911045	12.19060516	12.17542171	12.22995472	12.19836807	A2AN08	A2AN08	UBR4_MOUSE	Ubr4
10.50725937	9.366406441	11.15378666	11.99480247	12.5984993	12.49870491	12.62689495	11.17677116	11.06489754	11.06362438	9.047008514	A2APV2;Q9JL26	A2APV2;Q9JL26	FMNL1_MOUSE;FMNL2_MOUSE	Fmnl1;Fmnl2
11.30171299	11.42284298	10.87760639	11.47583008	11.52292442	11.69097996	9.88528347	11.34638119	11.85541725	11.68982315	11.3483963	A2APY7	A2APY7	NDUF5_MOUSE	Ndufaf5
9.308524132	8.997163773	8.224177361	11.58249474	11.89262581	12.11050987	13.06463528	9.704063416	9.178718567	12.9624548	10.35250759	A2AQ07	A2AQ07	TBB1_MOUSE	Tubb1
13.84687138	14.00751781	13.63476563	13.51470184	13.73680401	13.61828232	13.69047832	13.66241264	13.86632252	13.56851387	13.52031136	A2ASQ1	A2ASQ1	AGRIN_MOUSE	Agrn
17.72805405	17.65826035	17.85293198	17.47506142	17.2573967	17.18975639	16.3638382	17.65826797	17.51907539	17.63500214	17.65414619	A2ASS6	A2ASS6	TITIN_MOUSE	Ttn
13.50815392	13.68266582	13.81270885	15.31598473	14.92531776	14.91937065	14.04580212	14.18576622	14.38659	14.47118664	14.4382782	A2AUC9	A2AUC9	KLH41_MOUSE	Klhl41
12.82271576	12.62632751	12.67389202	12.83226681	12.92168522	10.25070858	10.42602444	12.51258755	12.49020386	12.66118526	8.993803978	A2RT60;Q9JIY5	A2RT60;Q9JIY5	HTRA2_MOUSE;HTRA4_MOUSE	Htra2;Htra4
11.31108379	11.26248837	11.18194103	11.01407623	10.71318245	9.938229561	9.819926262	11.10358906	11.44448185	11.37942219	11.17082596	A3KFX0	A3KFX0	5NT1A_MOUSE	Nt5c1a
10.69229317	10.64345932	10.06185722	10.66195583	9.77231884	11.21688938	9.518873215	9.021863937	10.48204136	10.53266716	10.15314293	A3KG59	A3KG59	P20D2_MOUSE	Pm20d2
9.855891228	10.17583656	8.902693748	10.24535084	9.585256577	11.30611324	11.09469795	9.583982468	9.615851402	8.989458084	9.8489151	A3KGS3;P61255	A3KGS3;P61255	RGPA2_MOUSE;RL26_MOUSE	Ralgapa2;Rpl26
11.94636154	11.98039627	11.84872818	11.80029297	11.57911301	10.18599892	11.22702026	11.52052021	11.81079674	11.49164772	11.76945782	A3KMP2	A3KMP2	TTC38_MOUSE	Ttc38
10.41984463	10.79536629	10.16807079	10.81079578	10.24837494	8.987392426	10.11326981	10.02727032	10.61663151	10.62127399	11.34914303	A6H611	A6H611	MIPEP_MOUSE	Mipep
10.9432106	11.39389992	11.2923851	10.84322262	11.29314995	10.88735008	10.78684139	11.02445412	11.98076439	11.41419888	11.28794289	A6H6A9	A6H6A9	RBG1L_MOUSE	Rabgap1l
12.15135956	11.54652786	11.85376549	12.48826408	12.57082558	12.98101234	12.84051418	12.60204887	12.59465599	11.99534988	12.25675106	A6H6E2	A6H6E2	MMRN2_MOUSE	Mmrn2
12.92739677	13.17096615	12.62826061	14.97229767	14.66231823	14.89459991	14.29362202	14.13719082	14.69896507	13.79438496	14.15437508	A6X935	A6X935	ITIH4_MOUSE	Itih4
19.68648911	19.61304855	19.04667664	20.72904587	20.87830734	22.70998955	20.03788948	20.33277321	19.48812485	20.31474495	19.85288811	A8DUK4	A8DUK4	A8DUK4_MOUSE	Hbb-bs
10.90088177	11.23771191	11.3107605	10.53801441	10.69156075	10.90085888	11.49814701	11.21113396	11.46146965	11.14915657	10.73043633	B1AR13	B1AR13	CISD3_MOUSE	Cisd3
14.2745533	14.23721027	14.38461494	14.2342186	14.11505222	13.48595524	13.12455273	14.01914787	13.7719326	14.3185358	14.39635754	B1AR69	B1AR69	B1AR69_MOUSE	Myh13
19.02070236	18.91650963	18.80320358	18.77105331	18.6572876	18.21284294	17.95355988	19.02240562	18.97152901	19.18056679	19.00983047	B1AR69;G3UW82;Q02566;P13541;P13542	B1AR69;G3UW82;Q02566;P13541;P13542	B1AR69_MOUSE;G3UW82_MOUSE;MYH3_MOUSE;MYH6_MOUSE;MYH8_MOUSE	Myh13;Myh2;Myh3;Myh6;Myh8
12.12220001	10.88824081	12.06664753	10.74347973	16.73708916	16.62694931	9.579163551	17.22786903	11.6300211	12.25444984	17.51241684	B1AR69;P13541;Q5SX39;P13542;Q5SX40	B1AR69;P13541;Q5SX39;P13542;Q5SX40	B1AR69_MOUSE;MYH1_MOUSE;MYH3_MOUSE;MYH4_MOUSE;MYH8_MOUSE	Myh1;Myh13;Myh3;Myh4;Myh8
14.52134323	14.44781303	14.00161076	13.47021389	14.09050083	13.55678177	12.87407494	15.53901672	15.99628162	14.90112591	15.31102848	B1AR69;Q5SX39	B1AR69;Q5SX39	B1AR69_MOUSE;MYH4_MOUSE	Myh13;Myh4
10.45734024	10.76237392	10.38155365	11.20386219	11.05251408	11.16739941	10.71606159	11.17703342	10.53796577	11.01471806	10.04832745	B1AUN2	B1AUN2	B1AUN2_MOUSE	Eif2b3
11.17874527	11.11139679	11.04356098	11.42752266	11.68197632	10.34387493	10.36062908	11.24714375	10.76505375	10.99120331	10.95394135	B1AVK5;P08122	B1AVK5;P08122	B1AVK5_MOUSE;CO4A2_MOUSE	Col4a2;Col4a6
11.38246727	11.64631557	11.18719101	12.52964497	12.5162611	12.81781483	12.9822855	11.99553776	12.06570911	11.58003712	12.03620434	B2RQC6	B2RQC6	PYR1_MOUSE	Cad
10.8807621	10.45563507	10.70810127	10.53893566	9.863331795	9.710341454	9.399429321	10.76346111	10.7114954	10.53535271	10.68172169	B2RRE7	B2RRE7	OTUD4_MOUSE	Otud4
12.00625992	11.67987156	11.70634079	11.91562939	11.89517021	11.6213789	11.99591541	11.85635948	11.90305328	11.42352581	11.74569511	B2RXS4	B2RXS4	PLXB2_MOUSE	Plxnb2
10.08777142	11.92401791	11.85211563	11.93541908	12.27528667	9.709902763	10.19275761	11.95489407	12.09929848	12.34982586	9.098592758	B2RY04	B2RY04	DOCK5_MOUSE	Dock5
11.23903179	11.62973881	10.95627403	12.23458958	12.44553185	12.19939613	12.63040829	11.5802536	11.83643723	11.3457489	12.2549963	B2RY56	B2RY56	RBM25_MOUSE	Rbm25
11.41644955	11.03287888	10.96628189	11.14226627	10.58447361	11.00606632	9.680675507	11.02414894	11.17589283	10.82766056	10.74069977	B8JJ69	B8JJ69	B8JJ69_MOUSE	2310061I04Rik
11.37730312	11.25365257	11.30062103	11.48229408	11.95652485	11.63687801	11.80249596	11.49316502	11.91646576	11.20129108	11.05085564	D3YXK2	D3YXK2	SAFB1_MOUSE	Safb
10.73437977	11.97494125	11.44766712	11.68134785	12.23026943	8.600012779	12.06424713	11.94468689	11.3721199	11.06491089	10.22524166	D3YXK2;Q80YR5	D3YXK2;Q80YR5	SAFB1_MOUSE;SAFB2_MOUSE	Safb;Safb2
11.22273445	11.463974	11.08707809	11.02785778	11.40961361	11.47434521	10.37552834	11.54932785	11.65882301	11.69303417	11.6245079	D3YYU8	D3YYU8	OBSL1_MOUSE	Obsl1
12.06038189	11.92713737	11.86257935	12.34659386	12.62985325	12.59210682	12.72153664	12.43543816	12.73554134	12.18402958	12.62568378	D3YZZ5	D3YZZ5	D3YZZ5_MOUSE	Tmed7
12.32396698	12.12060356	12.45266628	12.82337284	13.01195431	13.28371906	13.22660923	12.57922363	12.5333786	12.40680313	12.73303413	D3Z0M9	D3Z0M9	D3Z0M9_MOUSE	Ddx23
12.71791649	13.32423687	12.90510082	13.54113293	13.39467716	12.51624393	12.24204254	12.82098866	13.73441315	13.32002449	13.0895052	D3Z298;P23953;Q64176;D3Z5G7;Q8VCC2;Q8VCT4;Q91WU0	D3Z298;P23953;Q64176;D3Z5G7;Q8VCC2;Q8VCT4;Q91WU0	D3Z298_MOUSE;D3Z5G7_MOUSE;EST1C_MOUSE;EST1D_MOUSE;EST1E_MOUSE;EST1F_MOUSE;EST1_MOUSE	Ces1;Ces1b;Ces1c;Ces1d;Ces1e;Ces1f;Ces1h
13.96799183	14.0860281	13.86759758	15.24021721	15.44713211	15.42198944	15.90598583	14.11076832	14.58674622	14.04358292	14.33497143	D3Z2H9	D3Z2H9	D3Z2H9_MOUSE	Tpm3-rs7
12.87801456	12.48951721	12.52317238	12.50239182	12.8038826	12.50788403	12.57371807	12.73686695	12.96161938	12.53792191	12.78798008	D3Z3N4	D3Z3N4	D3Z3N4_MOUSE	Hnrnph3
12.50739574	13.12014866	12.81665611	13.16253567	13.69895458	13.74019146	13.11363792	12.67383289	13.37247086	12.72622681	12.94037247	D3Z3N4;P70333;O35737	D3Z3N4;P70333;O35737	D3Z3N4_MOUSE;HNRH1_MOUSE;HNRH2_MOUSE	Hnrnph1;Hnrnph2;Hnrnph3
12.75316048	12.93521881	12.80889797	12.37548733	12.6831522	12.77169418	12.8755827	12.85865688	12.43976593	12.58928108	12.67431355	D3Z689	D3Z689	D3Z689_MOUSE	Adamtsl5
12.74055004	8.661642075	8.87610054	12.08309078	12.37821102	13.00870514	13.2969017	9.652685165	9.125244141	9.050724983	10.21513557	D3Z6Q9	D3Z6Q9	BIN2_MOUSE	Bin2
8.557509422	10.15878487	9.469685555	12.76222038	12.60306263	12.91463757	13.51076412	9.594969749	10.1344471	8.372625351	9.499032021	D3Z6Q9;O08539;Q7TQF7	D3Z6Q9;O08539;Q7TQF7	AMPH_MOUSE;BIN1_MOUSE;BIN2_MOUSE	Amph;Bin1;Bin2
13.51339436	13.22049141	13.53233147	13.44719982	13.06641006	13.23620224	13.413311	13.43309021	13.8508997	13.59847164	13.81255817	D3Z7P3	D3Z7P3	GLSK_MOUSE	Gls
12.76406479	12.97344971	12.93229008	12.38362598	12.27658081	12.54080582	11.60265255	12.81479836	12.88860416	12.99008846	12.74285698	D3Z7Q2	D3Z7Q2	SIM20_MOUSE	Smim20
15.79380608	16.13039207	15.98103428	15.74493885	15.81892681	15.67611408	14.63886547	15.97471714	16.07980537	15.87273788	15.88032722	D3Z7X0	D3Z7X0	D3Z7X0_MOUSE	Acad12
10.66641045	9.606602669	10.73282051	12.40850735	11.8479538	12.2903614	12.17010689	11.62490082	11.02601814	11.71755219	11.70111561	E0CYV9	E0CYV9	CD054_MOUSE	
12.26083469	12.70650291	12.14948368	13.10803604	13.41801071	13.34490585	13.87924862	12.49056721	12.87407684	12.75892067	12.73541451	E9PV04;Q91VC3;A0A0N4SVP8	E9PV04;Q91VC3;A0A0N4SVP8	A0A0N4SVP8_MOUSE;E9PV04_MOUSE;IF4A3_MOUSE	Eif4a3;Eif4a3l1;Eif4a3l2
14.03414536	14.26916313	14.21529007	19.11664581	19.17661667	19.9415741	19.0616436	16.15633202	17.63767242	15.70532417	15.61073685	E9PV24	E9PV24	FIBA_MOUSE	Fga
11.30916977	11.73555565	11.28370762	12.00080299	11.70306015	11.88450241	11.31237221	11.67143059	11.48068905	11.72396374	11.42771053	E9PV66	E9PV66	E9PV66_MOUSE	Myo18b
11.6461668	11.87043381	11.46517849	12.02963257	12.38094807	12.36739254	12.39096737	11.891119	12.03455448	11.8970623	11.93564796	E9PVA8	E9PVA8	GCN1_MOUSE	Gcn1
12.35301971	12.67328262	12.87403774	13.27757359	13.32150555	13.45117283	13.64374352	12.8755188	13.07062721	12.57241154	12.59499359	E9PW43;Q9CQS8	E9PW43;Q9CQS8	E9PW43_MOUSE;SC61B_MOUSE	Gm10320;Sec61b
17.69819641	17.84832954	17.63719749	17.08425903	17.49716568	17.399786	16.89269638	17.96059036	17.92073631	17.4027462	17.40663719	E9PWQ3	E9PWQ3	E9PWQ3_MOUSE	Col6a3
11.83338833	11.49829578	12.01135635	11.88250923	11.77018452	11.05675983	9.774870872	12.03033924	11.23829174	12.11972618	9.147545815	E9PWZ3	E9PWZ3	E9PWZ3_MOUSE	Rpl3l
13.17379379	13.09775734	13.14909649	12.75642872	12.73968983	12.66123009	12.53768921	13.14906597	12.89004993	13.35891247	13.08352375	E9PYF4	E9PYF4	E9PYF4_MOUSE	Lmo7
14.26857853	14.35332584	14.31664944	13.91366577	14.04386425	13.78985977	13.70333004	14.4790535	14.56386375	14.41361523	14.52600384	E9Q0S6	E9Q0S6	E9Q0S6_MOUSE	Tns1
11.12861919	11.81295967	11.61521626	10.07169914	11.70401573	10.84290695	9.853941917	11.81678391	11.97869587	11.09675503	11.97603798	E9Q0S6;Q5SSZ5	E9Q0S6;Q5SSZ5	E9Q0S6_MOUSE;TENS3_MOUSE	Tns1;Tns3
